Event	Purity
536	0.49945869871170295
537	0.49945869871170295
538	0.49945869871170295
539	0.49945869871170295
540	0.49945869871170295
541	0.49945869871170295
542	0.49945869871170295
543	0.49945869871170295
544	0.49945869871170295
545	0.49945869871170295
546	0.49945869871170295
547	0.49945869871170295
548	0.49945869871170295
549	0.49945869871170295
550	0.49945869871170295
551	0.9683544303797469
552	0.9683544303797469
553	0.49945869871170295
554	0.49945869871170295
555	0.49945869871170295
556	0.49945869871170295
557	0
558	0.49945869871170295
559	0.49945869871170295
560	0.49945869871170295
561	0.49945869871170295
562	0.49945869871170295
563	0.49945869871170295
564	0.49945869871170295
565	0.49945869871170295
566	0.49945869871170295
567	0.49945869871170295
568	0.49945869871170295
569	0.49945869871170295
570	0.49945869871170295
571	0.49945869871170295
572	0.49945869871170295
573	0.49945869871170295
574	0.49945869871170295
575	0.49945869871170295
576	0.49945869871170295
577	0.49945869871170295
578	0.49945869871170295
579	0.49945869871170295
580	0.49945869871170295
581	0.49945869871170295
582	0.49945869871170295
583	0.49945869871170295
584	0.49945869871170295
585	0.49945869871170295
586	0.49945869871170295
587	0.49945869871170295
588	0.49945869871170295
589	0.49945869871170295
590	0.49945869871170295
591	0.49945869871170295
592	0.49945869871170295
593	0.7857142857142857
594	0.49945869871170295
595	0.49945869871170295
596	0.49945869871170295
597	0.49945869871170295
598	0.9683544303797469
599	0.49945869871170295
600	0.49945869871170295
601	0.49945869871170295
602	0.49945869871170295
603	0.9632352941176471
604	0.49945869871170295
605	0.49945869871170295
606	0.49945869871170295
607	0.49945869871170295
608	0.49945869871170295
609	0.49945869871170295
610	0.49945869871170295
611	0.49945869871170295
612	0.8846153846153846
613	0.49945869871170295
614	0.49945869871170295
615	0.49945869871170295
616	0.49945869871170295
617	0.49945869871170295
618	0.49945869871170295
619	0.49945869871170295
620	0.49945869871170295
621	0.49945869871170295
622	0.49945869871170295
623	0.49945869871170295
624	0.49945869871170295
625	0.49945869871170295
626	0.49945869871170295
627	0.49945869871170295
628	0.49945869871170295
629	0.49945869871170295
630	0.49945869871170295
631	0.49945869871170295
632	0.49945869871170295
633	0.49945869871170295
634	0.49945869871170295
635	0.9259259259259259
636	0.49945869871170295
637	0.03409090909090909
638	0.49945869871170295
639	0.49945869871170295
640	0.49945869871170295
641	0.49945869871170295
642	0.49945869871170295
643	1
644	0.49945869871170295
645	0.03409090909090909
646	0.49945869871170295
647	0.49945869871170295
648	0.49945869871170295
649	0.49945869871170295
650	0.49945869871170295
651	0.49945869871170295
652	0.49945869871170295
653	0.9632352941176471
654	0.49945869871170295
655	0.49945869871170295
656	0.49945869871170295
657	0.49945869871170295
658	0.49945869871170295
659	0.49945869871170295
660	0.49945869871170295
661	0.49945869871170295
662	0.49945869871170295
663	0.49945869871170295
664	0.49945869871170295
665	0.49945869871170295
666	0.49945869871170295
667	0.49945869871170295
668	0.015037593984962405
669	0.49945869871170295
670	0.49945869871170295
671	0.49945869871170295
672	0.49945869871170295
673	0.49945869871170295
674	0.49945869871170295
675	0.49945869871170295
676	0.49945869871170295
677	0.49945869871170295
678	0.49945869871170295
679	0.49945869871170295
680	0.9545454545454546
681	0.06666666666666667
682	0.49945869871170295
683	0.49945869871170295
684	0.49945869871170295
685	0.49945869871170295
686	0.49945869871170295
687	0.49945869871170295
688	0.49945869871170295
689	0.49945869871170295
690	0.49945869871170295
691	0.49945869871170295
692	0.49945869871170295
693	0
694	0.49945869871170295
695	0.49945869871170295
696	0.49945869871170295
697	0.49945869871170295
698	0.49945869871170295
699	0.49945869871170295
700	0.0967741935483871
701	0.49945869871170295
702	0.49945869871170295
703	0.49945869871170295
704	0.49945869871170295
705	0.49945869871170295
706	0.49945869871170295
707	0.49945869871170295
708	0.49945869871170295
709	0.49945869871170295
710	0.49945869871170295
711	0.49945869871170295
712	0.49945869871170295
713	0.49945869871170295
714	0.49945869871170295
715	0.9683544303797469
716	0.49945869871170295
717	0.49945869871170295
718	0.49945869871170295
719	0.49945869871170295
720	0.49945869871170295
721	0.49945869871170295
722	0.49945869871170295
723	0.49945869871170295
724	0.49945869871170295
725	0.49945869871170295
726	0.49945869871170295
727	0.49945869871170295
728	0.49945869871170295
729	0.49945869871170295
730	0.49945869871170295
731	0.49945869871170295
732	0.7857142857142857
733	0.49945869871170295
734	0.49945869871170295
735	1
736	0.49945869871170295
737	0.49945869871170295
738	1
739	0.49945869871170295
740	0.49945869871170295
741	0.49945869871170295
742	0.49945869871170295
743	0.49945869871170295
744	0.49945869871170295
745	0.49945869871170295
746	0.49945869871170295
747	0.49945869871170295
748	0.49945869871170295
749	0.49945869871170295
750	0.49945869871170295
751	0.49945869871170295
752	0.49945869871170295
753	0.49945869871170295
754	0.49945869871170295
755	0.49945869871170295
756	0.49945869871170295
757	0.49945869871170295
758	0.49945869871170295
759	0.49945869871170295
760	0.49945869871170295
761	0.49945869871170295
762	0.49945869871170295
763	0
764	0.49945869871170295
765	0.49945869871170295
766	0.49945869871170295
767	0.49945869871170295
768	0.49945869871170295
769	0.49945869871170295
770	0.49945869871170295
771	0.49945869871170295
772	0.49945869871170295
773	0.49945869871170295
774	0.49945869871170295
775	0.49945869871170295
776	0.49945869871170295
777	0.9632352941176471
778	0.49945869871170295
779	0.49945869871170295
780	0.49945869871170295
781	0.49945869871170295
782	1
783	1
784	0.49945869871170295
785	0.49945869871170295
786	0.49945869871170295
787	0.7857142857142857
788	0.49945869871170295
789	0.49945869871170295
790	0.49945869871170295
791	0.49945869871170295
792	0.49945869871170295
793	0.49945869871170295
794	0.49945869871170295
795	0.49945869871170295
796	0.49945869871170295
797	0.49945869871170295
798	0.49945869871170295
799	0.49945869871170295
800	0.49945869871170295
801	0.49945869871170295
802	0.49945869871170295
803	0.49945869871170295
