Event	Score
101	6.010361803892499
102	6.0846496465437
103	5.346796997872257
104	5.324281758183066
105	4.344898060617009
106	3.445090647006505
107	5.4940533890020955
108	3.554707343183992
109	4.535294978125815
110	5.569006000112516
111	4.204361124991973
112	4.297245110506865
113	5.407174795457185
114	4.406024461944078
115	5.421655723306383
116	5.1846780270160755
117	5.200509756053602
118	5.0986034333139205
119	5.7755054525484715
120	5.263611295829627
121	6.081332928640131
122	5.457700087668472
123	6.585335757571951
124	5.702386559221353
125	5.4940533890020955
126	3.730723713304931
127	5.282295297794269
128	3.5381361028663267
129	5.886438921744753
130	4.406024461944078
131	4.11908796970074
132	6.147875609147065
133	3.445090647006505
134	5.8581427523518235
135	5.8936784569120215
136	6.542616985012487
137	4.23360050308576
138	4.766815108748829
139	6.022330597102368
140	5.473659658871771
141	3.8020142506844374
142	6.008062582996532
143	6.043302670160506
144	5.152006433694195
145	5.768974819856349
146	6.022080714185219
147	4.6466700923435855
148	5.335926818880574
149	5.3511702038797
150	6.077137433969789
151	4.2374904270332125
152	5.853627193276766
153	3.0504316055270175
154	5.500031959978257
155	4.957351243981368
156	4.2374904270332125
157	4.424354707562788
158	6.131858220851417
159	4.296052462392603
160	3.8073585708560076
161	3.8448015208387902
162	5.190942752228823
163	4.78616136526381
164	5.504355296814371
165	4.969006196131875
166	4.5228373223734515
167	4.922285835063659
168	5.972054693583896
169	4.133987860441984
170	4.941543792098004
171	4.922868457967528
172	2.9157659652908885
173	4.052613301590444
174	6.014976560079043
175	4.919098843997338
176	4.985023584427524
177	4.1875030619114435
178	4.958701946233723
179	4.199785032380989
180	4.2174244335880084
181	4.568530276778492
182	4.2374904270332125
183	5.565772988569541
184	4.696476942573403
185	3.9568827720014794
186	5.435352548563168
187	4.642539900975858
188	5.62414136838902
189	4.269035320042245
190	5.342221140131668
191	5.864900140326026
192	5.772761566496866
193	4.112003232080864
194	4.112003232080864
195	4.799224673859846
196	5.455800989018065
197	5.980164777060527
198	5.9015549327584855
199	5.935399901151437
200	5.435352548563168
201	5.702386559221353
202	5.439129831087108
203	4.1094652780702186
204	5.2360594214761385
205	4.6703149879813814
206	3.0628446450836266
207	5.152006433694195
208	6.126351272866089
209	4.204361124991973
210	3.8608555878229147
211	4.7242052069321705
212	5.024437933397774
213	3.1336542775920657
214	5.039681318396901
215	3.6568487382143307
216	3.4652120062757774
217	3.116200282737431
218	3.577771068493468
219	5.380631761681539
220	6.18262917364251
221	3.4480917846094585
222	4.107807737410522
223	5.688708578714922
224	5.626178434773598
225	4.162528524292151
226	6.3857748722745455
227	4.184541647381862
228	4.766815108748829
229	4.848480414705142
230	6.239931121752487
231	4.1875030619114435
232	5.768974819856349
233	5.413792131466629
234	5.222708285495699
235	3.8159653370197306
236	4.7739192628550065
237	5.499532688368293
238	4.1250665406769
239	3.8394762342996884
240	3.055280285606343
241	5.032174341642893
242	5.473659658871771
243	6.219564695020025
244	5.643023832615272
245	5.407174795457185
246	5.754085143977326
247	4.808508904369114
248	3.7342124303404836
249	4.112003232080864
250	4.798886212738594
251	5.4240430351962905
252	5.338299889371753
253	5.463320781037078
254	3.7521913240187965
255	5.862277186917698
256	5.770373884671236
257	3.3876768916871924
258	5.527710441474277
259	5.07992701079438
260	5.171001099009633
261	5.577255155404859
262	4.833482604856345
263	4.112003232080864
264	3.7487965354966173
265	4.471501196796869
266	5.703228976731759
267	3.9762987058011574
268	4.114730125773391
269	5.611173464126337
270	4.319155732989525
271	4.181212526256793
272	5.345634509908777
273	4.316825103574345
274	6.022080714185219
275	3.6171438644185345
276	4.288674999087492
277	4.2374904270332125
278	5.08947628975287
279	3.722243637130613
280	4.558939873763612
281	3.6585320893159303
282	5.338549772288903
283	4.105837755955131
284	6.0225523371760525
285	3.8438494403071313
286	5.043471811037534
287	5.597026591150474
288	6.312207597569199
289	2.9730679134008655
290	4.628730908487468
291	5.341732926892168
292	3.674235383646481
293	4.941543792098004
294	5.45197139960946
295	3.066013451647396
296	6.216634195615652
297	4.151776778896857
298	5.634469541133257
299	4.848480414705142
300	4.730758398879765
301	5.1043644758121065
302	3.9204882558189427
303	6.095813856489329
304	4.430404103330825
305	5.421655723306383
306	5.747826971052452
307	3.490525365201638
308	3.077480304868226
309	4.45026310145802
310	5.846111312724238
311	3.622348169128661
312	4.169771483477866
313	4.967107097481469
314	6.542616985012487
315	6.147101605850544
316	5.457700087668472
317	5.8684588518295415
318	5.605100816165167
319	5.846111312724238
320	5.570626166919559
321	5.511902989590913
322	4.215802167770901
323	6.244784300102505
324	5.928153106157629
325	3.615233052108719
326	3.728730542051413
327	5.5230590227317755
328	6.289703068881805
329	4.445576663538075
330	3.859699625292831
331	5.2877835548589145
332	5.452193139683144
333	5.132748699025602
334	5.275049749685683
335	4.425928631418012
336	4.3310068713972765
337	4.2385050102501935
338	4.933996099321463
339	5.958991384987861
340	5.481980023660462
341	4.336486170763475
342	4.348393516829427
343	5.916878831760024
344	5.1863849807083096
345	2.215211950822597
346	5.435352548563168
347	4.2174244335880084
348	4.175253371766935
349	6.085720482687069
350	6.014976560079043
351	5.421655723306383
352	5.535783870206559
353	4.12978215090942
354	4.710669123168936
355	5.570626166919559
356	6.711953855358126
357	3.4044021987318827
358	5.31595235026645
359	5.656700760621715
360	3.6682871920703874
361	4.922868457967528
362	3.6013267467154573
363	4.102876341425549
364	5.846111312724238
365	5.634353221516411
366	4.152905832661631
367	6.257668711392945
368	5.9015549327584855
369	4.222906321877079
370	6.175251710337397
371	4.853527248595073
372	5.354014897361714
373	5.0986034333139205
374	5.155216469214237
375	6.012458022554699
376	3.8159653370197306
377	6.592713220877063
378	4.165120064735364
379	5.947193658381482
380	5.3636053003765936
381	4.365523185213955
382	5.649712926132382
383	4.364858416754735
384	5.337174306241738
385	5.8684588518295415
386	3.779920602721919
387	4.1361144310056845
388	5.784878812046812
389	4.4418871192960605
390	5.1846780270160755
391	5.867897880286304
392	4.933996099321463
393	3.7499524980267003
394	5.999733175079916
395	5.175796058836581
396	5.721576254676654
397	3.859699625292831
398	6.01638564209019
399	4.618491502105542
400	3.5264006495888296
401	5.565772988569541
402	3.2463917089680576
403	5.676680885087453
404	3.639980498475225
405	2.9400243167060083
406	5.868870578275891
407	5.611173464126337
408	5.232272674835621
409	3.7091803285345772
410	4.266327459982188
411	5.527710441474277
412	4.2961819758415
413	4.152905832661631
414	5.559111711468601
415	3.4282224072673992
416	5.69981871756832
417	3.5416440345879563
418	5.435014087441916
419	3.8372225508318962
420	5.781903524299983
421	4.666761166967093
422	3.6308536078199105
423	5.865371763316861
424	4.765567621387665
